iterations,cable_length
0,2440
1,2440
2,2440
3,2440
4,2440
5,2440
6,2440
7,2440
8,2440
9,2440
10,2440
11,2440
12,2440
13,2440
14,2440
15,2440
16,2440
17,2438
18,2438
19,2438
20,2438
21,2438
22,2438
23,2438
24,2438
25,2438
26,2438
27,2436
28,2436
29,2436
30,2436
31,2436
32,2436
33,2436
34,2436
35,2438
36,2438
37,2438
38,2438
39,2438
40,2438
41,2438
42,2438
43,2438
44,2438
45,2422
46,2422
47,2422
48,2422
49,2410
50,2410
51,2410
52,2410
53,2410
54,2410
55,2406
56,2406
57,2406
58,2406
59,2406
60,2406
61,2406
62,2406
63,2406
64,2406
65,2406
66,2426
67,2426
68,2426
69,2426
70,2426
71,2426
72,2426
73,2426
74,2426
75,2426
76,2426
77,2426
78,2426
79,2426
80,2426
81,2426
82,2426
83,2426
84,2426
85,2426
86,2426
87,2426
88,2426
89,2426
90,2426
91,2426
92,2426
93,2426
94,2426
95,2426
96,2426
97,2426
98,2426
99,2426
100,2426
101,2426
102,2426
103,2426
104,2426
105,2426
106,2426
107,2426
108,2426
109,2426
110,2426
111,2426
112,2426
113,2426
114,2426
115,2426
116,2426
117,2426
118,2426
119,2426
120,2426
121,2426
122,2426
123,2426
124,2426
125,2424
126,2424
127,2424
128,2424
129,2424
130,2424
131,2424
132,2424
133,2424
134,2424
135,2424
136,2424
137,2424
138,2424
139,2424
140,2424
141,2424
142,2424
143,2424
144,2424
145,2424
146,2424
147,2424
148,2424
149,2424
150,2424
151,2424
152,2424
153,2424
154,2424
155,2424
156,2424
157,2424
158,2424
159,2424
160,2424
161,2424
162,2424
163,2424
164,2424
165,2428
166,2428
167,2428
168,2428
169,2428
170,2428
171,2428
172,2428
173,2428
174,2428
175,2428
176,2428
177,2428
178,2428
179,2428
180,2428
181,2428
182,2428
183,2428
184,2428
185,2428
186,2428
187,2428
188,2428
189,2428
190,2428
191,2428
192,2428
193,2428
194,2428
195,2428
196,2428
197,2428
198,2428
199,2428
200,2428
201,2428
202,2428
203,2428
204,2428
205,2428
206,2428
