iterations,cable_length
0,2440
1,2440
2,2440
3,2440
4,2438
5,2438
6,2438
7,2438
8,2438
9,2438
10,2438
11,2438
12,2438
13,2438
14,2438
15,2438
16,2434
17,2434
18,2434
19,2434
20,2434
21,2434
22,2434
23,2434
24,2434
25,2434
26,2434
27,2434
28,2434
29,2434
30,2434
31,2434
32,2434
33,2428
34,2428
35,2428
36,2428
37,2428
38,2428
39,2428
40,2426
41,2426
42,2426
43,2426
44,2426
45,2426
46,2426
47,2426
48,2426
49,2426
50,2426
51,2426
52,2426
53,2426
54,2426
55,2426
56,2426
57,2426
58,2426
59,2426
60,2426
61,2426
62,2426
63,2426
64,2426
65,2424
66,2424
67,2424
68,2424
69,2424
70,2424
71,2424
72,2424
73,2424
74,2424
75,2424
76,2424
77,2424
78,2424
79,2424
80,2424
81,2424
82,2424
83,2424
84,2424
85,2424
86,2424
87,2424
88,2424
89,2424
90,2424
91,2424
92,2424
93,2424
94,2424
95,2424
96,2422
97,2422
98,2422
99,2422
100,2422
101,2422
102,2422
103,2422
104,2422
105,2422
106,2422
107,2422
108,2422
109,2422
110,2422
111,2422
112,2422
113,2422
114,2408
115,2408
116,2408
117,2408
118,2408
119,2408
120,2408
121,2408
122,2408
123,2408
124,2408
125,2408
126,2408
127,2408
128,2408
129,2408
130,2408
131,2408
132,2408
133,2408
134,2408
135,2404
136,2404
137,2404
138,2404
139,2404
140,2404
141,2404
142,2404
143,2404
144,2404
145,2404
146,2404
147,2404
148,2404
149,2404
150,2404
151,2404
152,2404
153,2404
154,2404
155,2404
156,2404
157,2404
158,2404
159,2404
160,2404
161,2404
162,2404
163,2404
164,2404
165,2404
166,2404
167,2404
168,2404
169,2404
170,2404
171,2404
172,2404
173,2402
174,2402
175,2402
176,2402
177,2402
178,2402
179,2402
180,2402
181,2402
182,2402
183,2402
184,2402
185,2402
186,2402
187,2402
188,2402
189,2402
190,2402
191,2402
192,2402
193,2402
194,2402
195,2402
196,2402
197,2402
198,2402
199,2402
200,2402
201,2402
202,2402
203,2402
204,2402
205,2402
206,2402
