iterations,cable_length
0,4396
1,4376
2,4372
3,4372
4,4372
5,4372
6,4370
7,4370
8,4370
9,4370
10,4370
11,4370
12,4370
13,4370
14,4370
15,4370
16,4352
17,4352
18,4352
19,4352
20,4352
21,4316
22,4316
23,4316
24,4312
25,4312
26,4312
27,4310
28,4310
29,4310
30,4310
31,4310
32,4310
33,4310
34,4310
35,4296
36,4296
37,4296
38,4276
39,4276
40,4270
41,4270
42,4270
43,4270
44,4270
45,4270
46,4258
47,4258
48,4258
49,4258
50,4258
51,4240
52,4240
53,4240
54,4240
55,4238
56,4236
57,4236
58,4218
59,4218
60,4200
61,4200
62,4200
63,4200
64,4200
65,4200
66,4200
67,4200
68,4184
69,4164
70,4164
71,4164
72,4152
73,4142
74,4142
75,4140
76,4140
77,4140
78,4140
79,4140
80,4140
81,4136
82,4136
83,4136
84,4136
85,4136
86,4116
87,4116
88,4116
89,4106
90,4106
91,4106
92,4106
93,4106
94,4106
95,4106
96,4106
97,4106
98,4106
99,4106
100,4106
101,4106
102,4106
103,4106
104,4088
105,4074
106,4074
107,4074
108,4074
109,4074
110,4074
111,4074
112,4074
113,4074
114,4074
115,4072
116,4072
117,4072
118,4072
119,4072
120,4072
121,4072
122,4062
123,4062
124,4062
125,4062
126,4062
127,4062
128,4062
129,4048
130,4048
131,4048
132,4040
133,4040
134,4040
135,4040
136,4038
137,4036
138,4036
139,4036
140,4036
141,4036
142,4036
143,4036
144,4036
145,4036
146,4030
147,4030
148,4030
149,4028
150,4028
151,4028
152,4012
153,4012
154,3998
155,3998
156,3998
157,3996
158,3996
159,3996
160,3988
161,3988
162,3988
163,3988
164,3988
165,3988
166,3986
167,3986
168,3986
169,3986
170,3976
171,3976
172,3970
173,3970
174,3956
175,3956
176,3956
177,3956
178,3956
179,3954
180,3954
181,3954
182,3952
183,3952
184,3952
185,3952
186,3952
187,3952
188,3952
189,3952
190,3952
191,3946
192,3946
193,3946
194,3924
195,3924
196,3924
197,3924
198,3924
199,3924
200,3924
201,3924
202,3924
203,3924
204,3924
205,3924
206,3924
207,3924
208,3924
209,3924
210,3924
211,3924
212,3924
213,3924
214,3924
215,3924
216,3924
217,3924
218,3924
219,3924
220,3924
221,3914
222,3914
223,3914
224,3914
225,3914
226,3912
227,3912
228,3912
229,3912
230,3912
231,3912
232,3912
233,3912
234,3912
235,3912
236,3912
237,3912
238,3912
239,3912
240,3908
241,3908
242,3908
243,3908
244,3908
245,3898
246,3898
247,3898
248,3898
249,3898
250,3898
251,3898
252,3892
253,3892
254,3892
255,3892
256,3892
257,3892
258,3892
259,3892
260,3892
261,3892
262,3892
263,3892
264,3892
265,3892
266,3892
267,3892
268,3876
269,3876
270,3876
271,3876
272,3876
273,3876
274,3876
275,3876
276,3876
277,3876
278,3876
279,3876
280,3876
281,3876
282,3876
283,3876
284,3876
285,3876
286,3876
287,3876
288,3876
289,3876
290,3876
291,3876
292,3876
293,3876
294,3876
295,3876
296,3876
297,3876
298,3876
299,3876
300,3876
301,3876
302,3876
303,3876
304,3876
305,3876
306,3876
307,3876
308,3876
309,3876
310,3876
311,3876
312,3876
313,3876
314,3876
315,3876
316,3866
317,3866
318,3866
319,3866
320,3866
321,3866
322,3866
323,3866
324,3866
325,3866
326,3866
327,3866
328,3866
329,3866
330,3866
331,3866
332,3866
333,3856
334,3856
335,3856
336,3856
337,3856
338,3856
339,3856
340,3856
341,3856
342,3856
343,3856
344,3856
345,3856
346,3856
347,3856
348,3856
349,3856
350,3854
351,3854
352,3854
353,3854
354,3854
355,3854
356,3854
357,3854
358,3854
359,3854
360,3854
361,3824
362,3824
363,3790
364,3790
365,3790
366,3790
367,3790
368,3790
369,3790
370,3790
371,3790
372,3790
373,3790
374,3790
375,3790
376,3790
377,3790
378,3790
379,3790
380,3790
381,3790
382,3790
383,3790
384,3790
385,3790
386,3790
387,3790
388,3790
389,3790
390,3790
391,3790
392,3790
393,3790
394,3790
395,3790
396,3790
397,3790
398,3790
399,3790
400,3790
401,3790
402,3790
403,3790
404,3790
405,3790
406,3790
407,3790
408,3790
409,3790
410,3790
411,3790
412,3790
413,3790
414,3790
415,3790
416,3790
417,3790
418,3790
419,3790
420,3790
421,3790
422,3790
423,3790
424,3790
425,3790
426,3790
427,3790
428,3790
429,3790
430,3790
431,3790
432,3790
433,3790
434,3784
435,3784
436,3784
437,3784
438,3784
439,3784
440,3784
441,3784
442,3784
443,3784
444,3784
445,3784
446,3784
447,3784
448,3784
449,3784
450,3784
451,3784
452,3782
