iterations,cable_length
0,5814
1,5812
2,5812
3,5770
4,5800
5,5800
6,5800
7,5800
8,5800
9,5800
10,5776
11,5756
12,5756
13,5726
14,5726
15,5726
16,5726
17,5702
18,5696
19,5676
20,5676
21,5676
22,5642
23,5642
24,5642
25,5642
26,5642
27,5642
28,5636
29,5636
30,5636
31,5636
32,5636
33,5622
34,5622
35,5622
36,5622
37,5622
38,5610
39,5610
40,5610
41,5610
42,5610
43,5610
44,5610
45,5610
46,5610
47,5610
48,5610
49,5610
50,5610
51,5610
52,5610
53,5610
54,5610
55,5610
56,5610
57,5610
58,5610
59,5610
60,5610
61,5610
62,5610
63,5610
64,5610
65,5610
66,5610
67,5610
68,5610
69,5610
70,5610
71,5610
72,5610
73,5610
74,5610
75,5610
76,5610
77,5610
78,5610
79,5610
80,5610
81,5610
82,5610
83,5610
84,5610
85,5610
86,5610
87,5610
88,5610
89,5610
90,5610
91,5610
92,5610
93,5610
94,5610
95,5610
96,5610
97,5610
98,5610
99,5610
100,5610
101,5610
102,5610
103,5610
104,5610
105,5610
106,5610
107,5610
108,5610
109,5610
110,5610
111,5610
112,5610
113,5610
114,5610
115,5610
116,5610
117,5610
118,5610
119,5610
120,5610
121,5610
122,5610
123,5610
124,5610
125,5610
126,5610
127,5610
128,5610
129,5610
130,5610
131,5610
132,5610
133,5610
134,5610
135,5610
136,5610
137,5610
138,5610
139,5610
140,5610
141,5610
142,5610
143,5610
144,5610
145,5610
146,5610
147,5610
148,5610
149,5610
150,5610
151,5610
152,5610
153,5610
154,5610
155,5610
156,5610
157,5610
158,5610
159,5610
160,5610
161,5610
162,5610
163,5610
164,5610
165,5610
166,5610
167,5610
168,5610
169,5610
170,5610
171,5610
172,5610
173,5610
174,5610
175,5572
176,5572
177,5572
178,5572
179,5572
180,5572
181,5572
182,5572
183,5572
184,5572
185,5572
186,5572
187,5572
188,5572
189,5572
190,5572
191,5572
192,5572
193,5572
194,5572
195,5572
196,5572
197,5572
198,5572
199,5572
200,5572
201,5572
202,5572
203,5572
204,5572
205,5572
206,5572
207,5572
208,5572
209,5572
210,5572
211,5572
212,5572
213,5572
214,5572
215,5572
216,5572
217,5572
218,5572
219,5572
220,5572
221,5572
222,5572
223,5572
224,5572
225,5572
226,5572
227,5572
228,5572
229,5572
230,5572
231,5572
232,5572
233,5572
234,5572
235,5572
236,5572
237,5572
238,5572
239,5572
240,5572
241,5572
242,5572
243,5572
244,5572
245,5572
246,5572
247,5572
248,5572
249,5572
250,5572
251,5572
252,5572
253,5572
254,5572
255,5572
256,5572
257,5572
258,5572
259,5572
260,5572
261,5572
262,5572
263,5572
264,5572
265,5572
266,5572
267,5572
268,5572
269,5572
270,5572
271,5572
272,5572
273,5572
274,5572
275,5572
276,5572
277,5572
278,5572
279,5572
280,5572
281,5572
282,5572
283,5572
284,5572
285,5572
286,5572
287,5572
288,5572
289,5572
290,5572
291,5572
292,5572
293,5572
294,5572
295,5572
296,5572
297,5572
298,5572
299,5572
300,5572
301,5572
302,5572
303,5572
304,5572
305,5572
306,5572
307,5572
308,5572
309,5572
310,5572
311,5572
312,5572
313,5572
314,5572
315,5572
316,5572
317,5572
318,5572
319,5572
320,5572
321,5572
322,5572
323,5572
324,5572
325,5572
326,5572
327,5572
328,5572
329,5572
330,5572
331,5572
332,5572
333,5572
334,5572
335,5572
336,5572
337,5572
338,5572
339,5572
340,5572
341,5572
342,5572
343,5572
344,5572
345,5572
346,5572
347,5572
348,5572
349,5572
350,5572
351,5572
352,5572
353,5560
354,5560
355,5560
356,5560
357,5560
358,5560
359,5560
360,5560
361,5560
362,5560
363,5560
364,5560
365,5560
366,5560
367,5560
368,5560
369,5560
370,5560
371,5560
372,5560
373,5560
374,5560
375,5560
376,5560
377,5560
378,5560
379,5560
380,5560
381,5560
382,5560
383,5560
384,5560
385,5560
386,5560
387,5560
388,5560
389,5560
390,5560
391,5560
392,5560
393,5560
394,5560
395,5560
396,5560
397,5560
398,5560
399,5560
400,5560
401,5560
402,5560
403,5560
404,5560
405,5560
406,5560
407,5560
408,5560
409,5560
410,5560
411,5560
412,5560
413,5560
414,5560
415,5560
416,5560
417,5560
418,5560
419,5560
420,5560
421,5560
422,5510
423,5510
424,5510
425,5510
426,5510
427,5510
428,5510
429,5510
430,5510
431,5510
432,5510
433,5510
434,5510
435,5510
436,5510
437,5510
438,5510
439,5510
440,5510
441,5510
442,5510
443,5510
444,5510
445,5510
446,5510
447,5510
448,5510
449,5510
450,5510
451,5510
452,5510
453,5510
454,5510
455,5510
456,5510
457,5510
458,5510
459,5510
460,5510
461,5510
462,5510
463,5510
464,5510
465,5510
466,5510
467,5510
468,5510
469,5510
470,5510
471,5510
472,5510
473,5510
474,5510
475,5510
476,5510
477,5510
478,5510
479,5510
480,5510
481,5510
482,5510
483,5510
484,5510
485,5510
486,5510
487,5510
488,5510
489,5510
490,5510
491,5510
492,5510
493,5510
494,5510
495,5510
496,5510
497,5510
498,5510
499,5510
500,5510
501,5510
502,5510
503,5510
504,5510
505,5510
506,5510
507,5510
508,5510
509,5510
510,5510
511,5510
512,5510
513,5510
514,5510
515,5510
516,5510
517,5510
518,5510
519,5510
520,5510
521,5510
522,5492
523,5466
524,5466
525,5466
526,5466
527,5466
528,5466
529,5466
530,5466
531,5466
532,5466
533,5466
534,5466
535,5466
536,5466
537,5466
538,5466
539,5466
540,5466
541,5466
542,5466
543,5466
544,5466
545,5466
546,5466
547,5466
548,5466
549,5466
550,5466
551,5466
552,5466
553,5466
554,5460
555,5460
556,5460
557,5460
558,5460
559,5460
560,5460
561,5460
562,5518
563,5518
564,5518
565,5518
566,5518
567,5518
568,5518
569,5518
570,5518
571,5518
572,5518
573,5518
574,5518
575,5518
576,5518
577,5518
578,5518
579,5518
580,5518
581,5518
582,5518
583,5518
584,5518
585,5518
586,5518
587,5518
588,5518
589,5518
590,5518
591,5518
592,5518
593,5518
594,5518
595,5518
596,5518
597,5518
598,5518
599,5518
600,5518
601,5518
602,5518
603,5506
604,5506
605,5506
606,5506
607,5506
608,5506
609,5506
610,5506
611,5506
612,5506
613,5506
614,5506
615,5506
616,5506
617,5506
618,5506
619,5506
620,5506
621,5506
622,5506
623,5506
624,5506
625,5506
626,5506
627,5506
628,5506
629,5506
630,5506
631,5506
632,5506
633,5506
634,5506
635,5506
636,5506
637,5506
638,5506
639,5506
640,5506
641,5506
642,5506
643,5506
644,5506
645,5506
646,5506
647,5506
648,5506
649,5506
650,5506
651,5506
652,5506
653,5506
654,5506
655,5506
656,5506
657,5506
658,5506
659,5506
660,5506
661,5506
662,5506
663,5506
664,5506
665,5504
666,5504
667,5504
668,5504
669,5504
670,5480
671,5480
672,5480
673,5480
674,5480
675,5480
676,5480
677,5480
678,5480
679,5480
680,5480
681,5480
682,5480
683,5480
684,5480
685,5480
686,5480
687,5480
688,5480
689,5480
690,5480
691,5480
692,5480
693,5480
694,5480
695,5480
696,5480
697,5480
698,5480
699,5480
700,5480
701,5480
702,5480
703,5480
704,5480
705,5480
706,5480
707,5480
708,5480
709,5480
710,5480
711,5480
712,5480
713,5480
714,5478
715,5478
716,5478
717,5478
718,5478
719,5478
720,5478
721,5454
722,5448
723,5448
724,5448
725,5448
726,5448
727,5448
728,5448
729,5448
730,5448
731,5448
732,5448
733,5448
734,5448
735,5448
736,5448
737,5448
738,5448
739,5448
740,5448
741,5448
742,5448
743,5448
744,5448
745,5448
746,5448
747,5448
748,5448
749,5448
750,5448
751,5448
752,5448
753,5448
754,5448
755,5448
756,5448
757,5448
758,5448
759,5448
760,5448
761,5448
762,5448
763,5448
764,5448
765,5448
766,5448
767,5448
768,5448
769,5448
770,5446
771,5446
772,5446
773,5446
774,5446
775,5446
776,5446
777,5446
778,5446
779,5446
780,5446
781,5446
782,5446
783,5446
784,5446
785,5446
786,5446
787,5446
788,5446
789,5446
790,5446
791,5446
792,5446
793,5446
794,5446
795,5446
796,5446
797,5446
798,5446
799,5446
800,5446
801,5446
802,5446
803,5446
804,5446
805,5446
806,5446
807,5446
808,5446
809,5446
810,5446
811,5446
812,5446
813,5446
814,5446
815,5446
816,5446
817,5446
818,5446
819,5446
820,5446
821,5446
822,5446
823,5446
824,5446
825,5446
826,5446
827,5446
828,5446
829,5446
830,5446
831,5446
832,5446
833,5446
834,5446
835,5446
836,5446
837,5446
838,5446
839,5446
840,5446
841,5446
842,5446
843,5446
844,5446
845,5446
846,5446
847,5446
848,5446
849,5446
850,5446
851,5446
852,5446
853,5446
854,5446
855,5446
856,5446
857,5446
858,5446
859,5446
860,5446
861,5446
862,5446
863,5446
864,5446
865,5446
866,5446
867,5446
868,5446
869,5446
870,5446
871,5446
872,5446
873,5446
874,5446
875,5446
876,5446
877,5446
878,5446
