iterations,cable_length
0,2440
1,2440
2,2440
3,2440
4,2440
5,2440
6,2440
7,2440
8,2440
9,2440
10,2440
11,2440
12,2440
13,2440
14,2440
15,2424
16,2424
17,2424
18,2424
19,2424
20,2424
21,2424
22,2422
23,2422
24,2422
25,2422
26,2422
27,2422
28,2422
29,2422
30,2422
31,2422
32,2422
33,2422
34,2422
35,2422
36,2422
37,2422
38,2422
39,2418
40,2418
41,2418
42,2418
43,2418
44,2418
45,2418
46,2418
47,2416
48,2416
49,2416
50,2416
51,2416
52,2416
53,2416
54,2416
55,2416
56,2416
57,2416
58,2416
59,2416
60,2416
61,2414
62,2414
63,2402
64,2402
65,2402
66,2400
67,2400
68,2398
69,2398
70,2396
71,2396
72,2396
73,2396
74,2396
75,2396
76,2396
77,2396
78,2396
79,2396
80,2396
81,2396
82,2396
83,2396
84,2396
85,2396
86,2396
87,2396
88,2396
89,2396
90,2396
91,2396
92,2396
93,2396
94,2396
95,2396
96,2396
97,2396
98,2396
99,2396
100,2396
101,2394
102,2394
103,2394
104,2394
105,2394
106,2394
107,2394
108,2394
109,2394
110,2394
111,2394
112,2394
113,2394
114,2388
115,2388
116,2388
117,2388
118,2388
119,2388
120,2388
121,2388
122,2388
123,2388
124,2388
125,2388
126,2388
127,2388
128,2388
129,2388
130,2388
131,2386
132,2386
133,2386
134,2386
135,2386
136,2386
137,2386
138,2386
139,2386
140,2386
141,2386
142,2386
143,2386
144,2386
145,2386
146,2386
147,2386
148,2386
149,2386
150,2386
151,2386
152,2384
153,2384
154,2384
155,2384
156,2384
157,2384
158,2384
159,2384
160,2384
161,2384
162,2384
163,2384
164,2384
165,2384
166,2384
167,2384
168,2384
169,2384
170,2384
171,2384
172,2384
173,2384
174,2384
175,2384
176,2384
177,2384
178,2384
179,2384
180,2384
181,2384
182,2384
183,2384
184,2384
185,2384
186,2384
187,2384
188,2384
189,2384
190,2384
191,2384
192,2384
193,2384
194,2384
195,2384
196,2384
197,2384
198,2384
199,2384
200,2384
201,2384
202,2384
203,2384
204,2384
205,2384
206,2384
