iterations,cable_length
0,3575
1,3575
2,3575
3,3575
4,3575
5,3575
6,3575
7,3575
8,3575
9,3575
10,3575
11,3575
12,3575
13,3575
14,3575
15,3575
16,3575
17,3575
18,3575
19,3569
20,3569
21,3569
22,3569
23,3569
24,3569
25,3567
26,3567
27,3567
28,3567
29,3567
30,3567
31,3567
32,3567
33,3563
34,3563
35,3559
36,3559
37,3559
38,3557
39,3557
40,3557
41,3557
42,3557
43,3557
44,3555
45,3553
46,3553
47,3553
48,3553
49,3553
50,3553
51,3553
52,3553
53,3553
54,3553
55,3553
56,3553
57,3553
58,3553
59,3553
60,3553
61,3553
62,3553
63,3553
64,3553
65,3553
66,3551
67,3551
68,3551
69,3551
70,3551
71,3551
72,3551
73,3551
74,3551
75,3551
76,3551
77,3551
78,3551
79,3551
80,3551
81,3551
82,3551
83,3551
84,3551
85,3551
86,3551
87,3551
88,3551
89,3551
90,3551
91,3551
92,3551
93,3551
94,3551
95,3551
96,3551
97,3551
98,3551
99,3551
100,3551
101,3551
102,3551
103,3551
104,3551
105,3551
106,3551
107,3551
108,3551
109,3551
110,3551
111,3551
112,3551
113,3551
114,3551
115,3551
116,3551
117,3551
118,3551
119,3551
120,3551
121,3551
122,3551
123,3551
124,3551
125,3551
126,3551
127,3551
128,3551
129,3551
130,3551
131,3551
132,3551
133,3549
134,3549
135,3549
136,3549
137,3549
138,3549
139,3549
140,3549
141,3549
142,3549
143,3549
144,3549
145,3549
146,3549
147,3549
148,3549
149,3549
150,3549
151,3543
152,3543
153,3543
154,3543
155,3543
156,3543
157,3543
158,3543
159,3543
160,3543
161,3543
162,3543
163,3543
164,3543
165,3543
166,3543
167,3543
168,3543
169,3543
170,3543
171,3543
172,3543
173,3543
174,3543
175,3543
176,3543
177,3543
178,3543
179,3543
180,3543
181,3543
182,3541
183,3541
184,3541
185,3541
186,3541
187,3541
188,3541
189,3541
190,3541
191,3541
192,3539
193,3539
194,3529
195,3529
196,3529
197,3529
198,3529
199,3529
200,3529
201,3529
202,3529
203,3529
204,3529
205,3529
206,3529
207,3529
208,3529
209,3529
210,3529
211,3529
212,3529
213,3529
214,3529
215,3529
216,3529
217,3529
218,3529
219,3529
220,3529
221,3529
222,3529
223,3529
224,3529
225,3529
226,3529
227,3529
228,3529
229,3529
230,3529
231,3529
232,3529
233,3529
234,3529
235,3523
236,3523
237,3523
238,3523
239,3523
240,3523
241,3523
242,3523
243,3523
244,3523
245,3523
246,3523
247,3523
248,3523
249,3523
250,3523
251,3523
252,3523
253,3523
254,3523
255,3523
256,3523
257,3523
258,3523
259,3523
260,3523
261,3523
262,3523
263,3523
264,3523
265,3523
266,3523
267,3523
268,3523
269,3523
270,3523
271,3523
272,3523
273,3523
274,3523
275,3523
276,3523
277,3523
278,3523
279,3523
280,3523
281,3523
282,3523
283,3523
284,3523
285,3523
286,3523
287,3523
288,3523
289,3523
290,3523
291,3523
292,3523
293,3523
294,3523
295,3517
296,3517
297,3517
298,3515
299,3515
300,3515
301,3515
302,3515
303,3515
304,3515
305,3515
306,3515
307,3515
308,3515
309,3515
310,3515
311,3515
312,3515
313,3515
314,3515
315,3515
316,3515
317,3515
318,3515
319,3515
320,3515
321,3515
322,3515
323,3515
324,3515
325,3515
326,3515
327,3515
328,3515
329,3515
330,3515
331,3515
332,3515
333,3515
334,3515
335,3515
336,3515
337,3515
338,3515
339,3515
340,3515
341,3515
342,3515
343,3515
344,3515
345,3515
346,3515
347,3515
348,3515
349,3515
350,3515
351,3515
352,3515
353,3515
354,3515
355,3513
356,3513
357,3513
358,3513
359,3513
360,3513
361,3513
362,3513
363,3513
364,3513
365,3513
366,3513
367,3513
368,3513
369,3513
370,3513
371,3513
372,3513
373,3513
374,3513
375,3513
376,3513
377,3513
378,3513
379,3513
380,3513
381,3513
382,3513
383,3513
384,3513
385,3513
386,3513
387,3513
388,3513
389,3513
390,3513
391,3513
392,3513
393,3513
394,3513
395,3513
396,3513
397,3513
398,3513
399,3513
400,3513
401,3513
402,3513
403,3513
404,3513
405,3513
406,3513
407,3513
408,3513
409,3513
410,3513
411,3513
412,3513
413,3513
414,3513
415,3513
416,3513
417,3513
418,3513
419,3513
420,3513
421,3513
422,3513
423,3513
424,3513
425,3513
426,3513
427,3513
428,3513
429,3513
430,3513
431,3513
432,3513
433,3513
434,3513
435,3513
436,3513
437,3513
438,3513
439,3513
440,3513
441,3513
442,3513
443,3513
444,3513
445,3513
446,3513
447,3513
448,3513
449,3513
450,3513
451,3513
452,3513
453,3513
454,3513
455,3513
456,3513
457,3513
458,3513
459,3513
460,3513
461,3513
462,3513
463,3513
464,3513
465,3513
466,3513
467,3513
468,3513
469,3513
470,3513
471,3513
472,3513
473,3513
474,3513
475,3513
476,3513
477,3513
478,3513
479,3513
480,3513
481,3513
482,3513
483,3513
484,3513
485,3513
486,3513
487,3513
488,3513
489,3513
490,3513
