iterations,cable_length
0,4380
1,4380
2,4380
3,4380
4,4374
5,4374
6,4374
7,4374
8,4374
9,4364
10,4364
11,4364
12,4362
13,4362
14,4362
15,4362
16,4360
17,4360
18,4360
19,4352
20,4338
21,4302
22,4302
23,4302
24,4302
25,4302
26,4302
27,4302
28,4300
29,4300
30,4300
31,4300
32,4298
33,4298
34,4298
35,4298
36,4298
37,4298
38,4298
39,4298
40,4298
41,4298
42,4298
43,4298
44,4298
45,4298
46,4298
47,4298
48,4298
49,4282
50,4282
51,4282
52,4282
53,4282
54,4282
55,4282
56,4282
57,4282
58,4282
59,4282
60,4282
61,4246
62,4246
63,4246
64,4246
65,4246
66,4246
67,4246
68,4246
69,4236
70,4236
71,4236
72,4232
73,4232
74,4232
75,4232
76,4232
77,4232
78,4232
79,4232
80,4232
81,4232
82,4232
83,4232
84,4232
85,4232
86,4232
87,4232
88,4212
89,4212
90,4212
91,4212
92,4206
93,4206
94,4206
95,4206
96,4206
97,4206
98,4206
99,4194
100,4194
101,4194
102,4194
103,4194
104,4194
105,4194
106,4194
107,4194
108,4194
109,4186
110,4186
111,4168
112,4168
113,4168
114,4168
115,4152
116,4152
117,4152
118,4134
119,4134
120,4134
121,4134
122,4134
123,4134
124,4134
125,4134
126,4128
127,4128
128,4128
129,4128
130,4128
131,4128
132,4128
133,4128
134,4128
135,4128
136,4106
137,4106
138,4106
139,4106
140,4106
141,4106
142,4106
143,4106
144,4106
145,4090
146,4084
147,4084
148,4084
149,4084
150,4084
151,4084
152,4078
153,4078
154,4078
155,4076
156,4076
157,4076
158,4062
159,4062
160,4062
161,4062
162,4062
163,4062
164,4062
165,4044
166,4044
167,4044
168,4044
169,4024
170,4024
171,4024
172,4024
173,4024
174,4024
175,4024
176,4024
177,4024
178,4020
179,4020
180,4020
181,4020
182,4020
183,4020
184,4020
185,4018
186,4016
187,4016
188,4016
189,4016
190,4016
191,4016
192,4008
193,4008
194,4008
195,4008
196,4004
197,4004
198,4004
199,4004
200,3984
201,3984
202,3984
203,3984
204,3984
205,3984
206,3984
207,3984
208,3984
209,3984
210,3984
211,3984
212,3984
213,3984
214,3984
215,3984
216,3984
217,3984
218,3984
219,3984
220,3984
221,3984
222,3984
223,3984
224,3984
225,3984
226,3984
227,3984
228,3984
229,3984
230,3984
231,3984
232,3984
233,3984
234,3984
235,3984
236,3984
237,3984
238,3984
239,3984
240,3984
241,3984
242,3984
243,3984
244,3984
245,3984
246,3984
247,3984
248,3984
249,3984
250,3984
251,3984
252,3984
253,3984
254,3984
255,3984
256,3984
257,3984
258,3984
259,3984
260,3984
261,3984
262,3984
263,3984
264,3984
265,3984
266,3984
267,3982
268,3982
269,3982
270,3982
271,3982
272,3982
273,3982
274,3976
275,3976
276,3976
277,3976
278,3976
279,3950
280,3950
281,3950
282,3950
283,3950
284,3950
285,3950
286,3950
287,3950
288,3936
289,3936
290,3936
291,3936
292,3936
293,3936
294,3936
295,3936
296,3936
297,3936
298,3936
299,3936
300,3936
301,3936
302,3936
303,3936
304,3936
305,3936
306,3936
307,3936
308,3936
309,3936
310,3936
311,3936
312,3936
313,3936
314,3936
315,3936
316,3936
317,3936
318,3936
319,3936
320,3936
321,3936
322,3936
323,3936
324,3936
325,3936
326,3936
327,3936
328,3936
329,3936
330,3936
331,3936
332,3936
333,3936
334,3936
335,3936
336,3936
337,3936
338,3936
339,3936
340,3936
341,3936
342,3916
343,3916
344,3916
345,3916
346,3916
347,3916
348,3916
349,3916
350,3916
351,3916
352,3916
353,3916
354,3916
355,3916
356,3916
357,3916
358,3916
359,3916
360,3916
361,3916
362,3916
363,3916
364,3916
365,3916
366,3916
367,3916
368,3916
369,3916
370,3916
371,3916
372,3916
373,3916
374,3916
375,3916
376,3916
377,3916
378,3916
379,3916
380,3916
381,3916
382,3916
383,3916
384,3916
385,3916
386,3916
387,3916
388,3916
389,3916
390,3916
391,3916
392,3916
393,3916
394,3916
395,3916
396,3916
397,3916
398,3916
399,3916
400,3916
401,3916
402,3916
403,3916
404,3916
405,3916
406,3916
407,3916
408,3916
409,3916
410,3916
411,3916
412,3916
413,3916
414,3916
415,3916
416,3916
417,3916
418,3916
419,3916
420,3916
421,3916
422,3916
423,3916
424,3916
425,3916
426,3916
427,3916
428,3916
429,3916
430,3916
431,3916
432,3916
433,3916
434,3916
435,3916
436,3916
437,3916
438,3916
439,3916
440,3916
441,3916
442,3916
443,3916
444,3916
445,3916
446,3916
447,3916
448,3916
449,3916
450,3916
451,3916
452,3916
453,3916
454,3916
455,3916
456,3916
457,3916
458,3916
459,3916
460,3916
461,3916
462,3916
463,3916
464,3916
465,3916
466,3916
467,3916
468,3916
469,3916
470,3916
471,3916
472,3916
473,3916
474,3916
475,3916
476,3916
477,3916
478,3916
479,3916
480,3916
481,3916
482,3916
483,3916
484,3916
485,3916
486,3916
487,3916
488,3916
489,3916
490,3916
491,3916
492,3916
493,3916
494,3916
495,3916
496,3916
497,3916
498,3916
499,3916
500,3916
501,3916
502,3916
503,3916
504,3916
505,3916
506,3916
507,3916
508,3916
509,3916
510,3916
511,3916
512,3916
513,3916
514,3916
515,3914
516,3914
517,3914
518,3914
519,3914
520,3914
521,3914
522,3914
523,3914
524,3914
525,3914
526,3914
527,3914
528,3914
529,3914
530,3914
531,3914
532,3914
533,3914
534,3914
535,3914
536,3914
537,3914
538,3914
539,3914
540,3914
541,3914
542,3914
543,3914
544,3914
545,3914
546,3914
547,3914
548,3914
549,3914
550,3914
551,3914
552,3914
553,3914
554,3914
555,3914
556,3914
557,3914
558,3914
559,3914
560,3914
561,3914
562,3914
563,3914
564,3914
565,3914
566,3914
567,3914
568,3914
569,3914
570,3914
571,3914
572,3914
573,3914
574,3914
575,3914
576,3914
577,3914
578,3914
579,3914
580,3914
581,3914
582,3914
583,3914
584,3914
585,3914
586,3914
587,3914
588,3914
589,3914
590,3914
591,3914
592,3914
593,3914
594,3914
595,3914
596,3914
597,3914
598,3914
599,3914
600,3914
601,3914
602,3914
603,3914
604,3914
605,3914
606,3914
607,3914
608,3914
609,3914
610,3914
611,3914
612,3914
613,3914
614,3914
615,3914
616,3914
617,3914
618,3914
619,3914
620,3914
621,3914
622,3914
623,3914
624,3914
625,3914
626,3914
627,3914
628,3914
629,3914
630,3914
631,3914
632,3914
