iterations,cable_length
0,6451
1,6373
2,6353
3,6331
4,6331
5,6323
6,6321
7,6319
8,6313
9,6313
10,6293
11,6227
12,6199
13,6183
14,6161
15,6103
16,6089
17,6075
18,6075
19,6027
20,5969
21,5969
22,5955
23,5917
24,5905
25,5843
26,5829
27,5829
28,5751
29,5703
30,5703
31,5703
32,5675
33,5673
34,5673
35,5673
36,5653
37,5653
38,5651
39,5561
40,5543
41,5509
42,5509
43,5497
44,5497
45,5445
46,5435
47,5403
48,5403
49,5385
50,5377
51,5375
52,5375
53,5371
54,5341
55,5339
56,5339
57,5339
58,5319
59,5303
60,5303
61,5303
62,5303
63,5303
64,5251
65,5251
66,5251
67,5251
68,5247
69,5239
70,5231
71,5231
72,5231
73,5231
74,5231
75,5231
76,5231
77,5199
78,5149
79,5117
80,5117
81,5115
82,5115
83,5115
84,5115
85,5113
86,5077
87,5051
88,5043
89,5043
90,5043
91,4989
92,4989
93,4989
94,4989
95,4989
96,4989
97,4987
98,4987
99,4987
100,4987
101,4987
102,4985
103,4985
104,4985
105,4959
106,4925
107,4923
108,4923
109,4923
110,4923
111,4923
112,4923
113,4923
114,4923
115,4923
116,4923
117,4923
118,4923
119,4923
120,4921
121,4921
122,4921
123,4921
124,4921
125,4921
126,4921
127,4921
128,4921
129,4921
130,4921
131,4921
132,4921
133,4921
134,4921
135,4921
136,4921
137,4921
138,4921
139,4921
140,4921
141,4921
142,4921
143,4921
144,4921
145,4921
146,4921
147,4921
148,4921
149,4863
150,4863
151,4863
152,4863
153,4863
154,4863
155,4863
156,4863
157,4863
158,4863
159,4863
160,4863
161,4863
162,4863
163,4837
164,4837
165,4837
166,4837
167,4837
168,4837
169,4837
170,4837
171,4837
172,4837
173,4837
174,4837
175,4837
176,4837
177,4837
178,4835
179,4835
180,4835
181,4835
182,4835
183,4835
184,4835
185,4835
186,4835
187,4835
188,4835
189,4835
190,4835
191,4835
192,4835
193,4835
194,4835
195,4835
196,4835
197,4835
198,4835
199,4835
200,4835
201,4835
202,4835
203,4835
204,4835
205,4835
206,4835
207,4835
208,4835
209,4835
210,4835
211,4835
212,4835
213,4835
214,4835
215,4835
216,4835
217,4835
218,4833
219,4833
220,4833
221,4833
222,4833
223,4833
224,4833
225,4833
226,4833
227,4833
228,4833
229,4833
230,4833
231,4833
232,4833
233,4833
234,4833
235,4833
236,4817
237,4817
238,4817
239,4817
240,4817
241,4817
242,4817
243,4817
244,4817
245,4817
246,4817
247,4817
248,4817
249,4817
250,4817
251,4817
252,4817
253,4817
254,4817
255,4817
256,4817
257,4817
258,4817
259,4817
260,4817
261,4817
262,4817
263,4817
264,4817
265,4817
266,4817
267,4817
268,4817
269,4817
270,4817
271,4817
272,4817
273,4817
274,4817
275,4817
276,4817
277,4817
278,4817
279,4817
280,4817
281,4817
282,4817
283,4817
284,4817
285,4817
286,4795
287,4795
288,4795
289,4795
290,4795
291,4795
292,4795
293,4795
294,4795
295,4795
296,4795
297,4795
298,4795
299,4795
300,4795
301,4795
302,4795
303,4795
304,4795
305,4795
306,4795
307,4795
308,4795
309,4795
310,4795
311,4795
312,4795
313,4795
314,4795
315,4795
316,4795
317,4795
318,4795
319,4795
320,4795
321,4795
322,4795
323,4795
324,4795
325,4795
326,4795
327,4795
328,4795
329,4795
330,4795
331,4795
332,4795
333,4795
334,4795
335,4795
336,4795
337,4795
338,4795
339,4795
340,4795
341,4795
342,4795
343,4795
344,4795
345,4795
346,4795
347,4795
348,4795
349,4795
350,4795
351,4795
352,4795
353,4795
354,4795
355,4795
356,4795
357,4795
358,4795
359,4795
360,4795
361,4795
362,4795
363,4795
364,4795
365,4795
366,4795
367,4783
368,4783
369,4783
370,4783
371,4783
372,4783
373,4783
374,4783
375,4783
376,4783
377,4783
378,4769
379,4769
380,4769
381,4769
382,4769
383,4769
384,4769
385,4769
386,4769
387,4769
388,4769
389,4769
390,4769
391,4769
392,4769
393,4769
394,4769
395,4769
396,4769
397,4769
398,4769
399,4769
400,4769
401,4769
402,4769
403,4769
404,4769
405,4755
406,4755
407,4755
408,4755
409,4755
410,4755
411,4755
412,4755
413,4755
414,4755
415,4735
416,4735
417,4735
418,4735
419,4735
420,4735
421,4735
422,4735
423,4735
424,4735
425,4735
426,4735
427,4735
428,4735
429,4735
430,4735
431,4735
432,4735
433,4735
434,4735
435,4735
436,4735
437,4735
438,4735
439,4735
440,4735
441,4735
442,4735
443,4735
444,4735
445,4735
446,4735
447,4735
448,4735
