iterations,cable_length
0,4814
1,4810
2,4810
3,4808
4,4808
5,4808
6,4808
7,4808
8,4808
9,4808
10,4808
11,4806
12,4804
13,4804
14,4804
15,4802
16,4802
17,4802
18,4802
19,4802
20,4802
21,4802
22,4802
23,4802
24,4802
25,4802
26,4802
27,4802
28,4802
29,4802
30,4802
31,4802
32,4802
33,4802
34,4802
35,4802
36,4802
37,4802
38,4802
39,4802
40,4802
41,4802
42,4802
43,4802
44,4802
45,4802
46,4802
47,4802
48,4802
49,4802
50,4802
51,4802
52,4802
53,4802
54,4802
55,4802
56,4802
57,4802
58,4802
59,4802
60,4802
61,4802
62,4802
63,4796
64,4796
65,4796
66,4796
67,4796
68,4796
69,4796
70,4796
71,4796
72,4796
73,4796
74,4796
75,4796
76,4796
77,4796
78,4796
79,4796
80,4796
81,4796
82,4796
83,4796
84,4796
85,4796
86,4796
87,4796
88,4796
89,4796
90,4796
91,4796
92,4796
93,4796
94,4796
95,4796
96,4796
97,4796
98,4796
99,4796
100,4796
101,4796
102,4796
103,4796
104,4796
105,4796
106,4796
107,4796
108,4796
109,4796
110,4796
111,4796
112,4796
113,4796
114,4796
115,4796
116,4796
117,4796
118,4796
119,4796
120,4796
121,4796
122,4796
123,4786
124,4786
125,4786
126,4786
127,4786
128,4786
129,4786
130,4786
131,4786
132,4786
133,4786
134,4786
135,4786
136,4786
137,4786
138,4786
139,4786
140,4786
141,4786
142,4786
143,4776
144,4776
145,4776
146,4776
147,4776
148,4776
149,4776
150,4776
151,4776
152,4776
153,4776
154,4776
155,4776
156,4776
157,4776
158,4776
159,4776
160,4776
161,4776
162,4776
163,4776
164,4776
165,4776
166,4776
167,4776
168,4776
169,4776
170,4776
171,4776
172,4776
173,4776
174,4776
175,4776
176,4776
177,4776
178,4776
179,4776
180,4776
181,4776
182,4776
183,4776
184,4776
185,4776
186,4776
187,4776
188,4776
189,4776
190,4776
191,4776
192,4776
193,4776
194,4776
195,4776
196,4776
197,4766
198,4766
199,4766
200,4766
201,4766
202,4766
203,4752
204,4752
205,4752
206,4752
207,4752
208,4752
209,4752
210,4752
211,4738
212,4738
213,4738
214,4738
215,4738
216,4736
217,4736
218,4736
219,4736
220,4736
221,4736
222,4736
223,4736
224,4724
225,4724
226,4716
227,4716
228,4716
229,4716
230,4716
231,4716
232,4716
233,4716
234,4716
235,4700
236,4686
237,4686
238,4686
239,4686
240,4686
241,4684
242,4674
243,4674
244,4674
245,4674
246,4650
247,4650
248,4650
249,4650
250,4650
251,4650
252,4650
253,4650
254,4650
255,4650
256,4650
257,4650
258,4650
259,4650
260,4646
261,4646
262,4646
263,4646
264,4646
265,4646
266,4646
267,4646
268,4646
269,4646
270,4646
271,4646
272,4646
273,4646
274,4646
275,4646
276,4646
277,4646
278,4646
279,4646
280,4646
281,4646
282,4646
283,4646
284,4646
285,4646
286,4646
287,4646
288,4646
289,4646
290,4646
291,4646
292,4646
293,4646
294,4646
295,4646
296,4646
297,4646
298,4646
299,4646
300,4646
301,4646
302,4646
303,4634
304,4634
305,4634
306,4634
307,4634
308,4634
309,4634
310,4634
311,4634
312,4634
313,4634
314,4634
315,4634
316,4634
317,4634
318,4634
319,4634
320,4634
321,4634
322,4634
323,4634
324,4634
325,4634
326,4634
327,4634
328,4634
329,4634
330,4634
331,4624
332,4624
333,4624
334,4624
335,4624
336,4624
337,4624
338,4624
339,4624
340,4624
341,4624
342,4624
343,4624
344,4624
345,4624
346,4624
347,4624
348,4624
349,4624
350,4624
351,4624
352,4624
353,4624
354,4624
355,4624
356,4624
357,4624
358,4624
359,4624
360,4624
361,4624
362,4624
363,4624
364,4624
365,4624
366,4624
367,4624
368,4624
369,4624
370,4624
371,4624
372,4624
373,4624
374,4624
375,4624
376,4624
377,4624
378,4624
379,4624
380,4624
381,4624
382,4624
383,4624
384,4624
385,4624
386,4624
387,4624
388,4624
389,4624
390,4624
391,4624
392,4624
393,4624
394,4624
395,4624
396,4624
397,4624
398,4624
399,4624
400,4624
401,4624
402,4624
403,4624
404,4624
405,4624
406,4624
407,4624
408,4624
409,4624
410,4624
411,4624
412,4624
413,4624
414,4624
415,4624
416,4624
417,4624
418,4624
419,4624
420,4624
421,4624
422,4624
423,4624
424,4624
425,4624
426,4624
427,4624
428,4624
429,4624
430,4624
431,4624
432,4624
433,4624
434,4624
435,4624
436,4624
437,4624
438,4624
439,4624
440,4624
441,4624
442,4624
443,4624
444,4624
445,4624
446,4624
447,4624
448,4624
449,4624
450,4624
451,4624
452,4624
453,4624
454,4624
455,4624
456,4624
457,4624
458,4624
459,4624
460,4618
461,4618
462,4618
463,4618
464,4618
465,4618
466,4618
467,4618
468,4618
469,4618
470,4618
471,4618
472,4618
473,4618
474,4618
475,4618
476,4618
477,4618
478,4618
479,4618
480,4618
481,4618
482,4618
483,4618
484,4618
485,4618
486,4618
487,4618
488,4618
489,4618
490,4618
491,4618
492,4618
493,4618
494,4618
495,4618
496,4618
497,4618
498,4618
499,4618
500,4618
501,4618
502,4618
503,4618
504,4618
505,4618
506,4618
507,4618
508,4618
509,4608
510,4608
511,4608
512,4608
513,4608
514,4602
515,4602
516,4602
517,4602
518,4602
519,4602
520,4602
521,4602
522,4602
523,4602
524,4602
525,4602
526,4602
527,4602
528,4602
529,4602
530,4602
531,4602
532,4602
533,4602
534,4602
535,4602
536,4602
537,4602
538,4602
539,4602
540,4602
541,4602
542,4602
543,4602
544,4602
545,4602
546,4602
547,4602
548,4602
549,4602
550,4602
551,4598
552,4598
553,4598
554,4598
555,4598
556,4598
557,4598
558,4598
559,4598
560,4598
561,4598
562,4598
